Dia,Tipo de Exercício,Repetições Totais,Número de Séries,Duração (min),Horário,Intervalo entre Séries (min)
31/08/2024,Flexão,15,2.0,1.0,15:20,1
01/09/2024,Barra Sem Peso,24,3.0,1.0,17:00,1
03/09/2024,Barra Sem Peso,20,2.0,,12:30,1
03/09/2024,Barra Sem Peso,20,2.0,,20:52,1
04/09/2024,Barra Sem Peso,20,2.0,,10:15,1
04/09/2024,Prancha,3,3.0,1.0,12:50,"0,5"
05/09/2024,Barra Sem Peso,20,2.0,,18:20,1
06/09/2024,Barra Sem Peso,30,3.0,,12:48,1
07/09/2024,Barra Com Peso,20,2.0,,18:17,1
08/09/2024,Barra Sem Peso,30,3.0,,15:17,1
10/09/2024,Barra Sem Peso,26,2.0,,23:55,1
11/09/2024,Barra Sem Peso,30,3.0,,13:30,1
11/09/2024,Barra Sem Peso,20,2.0,,20:12,1
12/09/2024,Barra Sem Peso,20,2.0,,13:00,1
14/09/2024,Barra Sem Peso,40,4.0,,15:26,2
15/09/2024,Barra Sem Peso,15,1.0,,19:36,
16/09/2024,Barra Sem Peso,50,5.0,,10:20,2
18/09/2024,Barra Sem Peso,20,1.0,,20:15,
20/09/2024,Barra Sem Peso,47,5.0,,17:00,2
21/09/2024,Prancha,3,3.0,1.0,14:54,"0,5"
21/09/2024,Barra Sem Peso,15,1.0,,16:43,
23/09/2024,Barra Sem Peso,15,1.0,,22:22,
25/09/2024,Barra Sem Peso,25,2.0,,21:18,1
27/09/2024,Barra Sem Peso,20,2.0,,18:40,1
27/09/2024,Barra Sem Peso,30,3.0,,19:56,1
28/09/2024,Andar de Bike,1,,40.0,5:13,
29/09/2024,Barra Sem Peso,15,1.0,,15:28,
29/09/2024,Barra Sem Peso,39,4.0,,21:09,1
30/09/2024,Barra Sem Peso,30,3.0,,12:44,1
30/09/2024,Prancha,3,3.0,1.0,22:20,"0,5"
03/10/2024,Barra Sem Peso,17,1.0,,20:21,
06/10/2024,Barra Sem Peso,30,2.0,,00:20,3
06/10/2024,Barra Sem Peso,30,3.0,,19:10,1
07/10/2024,Barra Sem Peso,19,1.0,,21:52,
08/10/2024,Barra Sem Peso,20,1.0,,19:40,
09/10/2024,Barra Sem Peso,22,2.0,,14:36,1
11/10/2024,Barra Sem Peso,15,1.0,,21:42,
12/10/2024,Barra Sem Peso,10,1.0,,8:16,
12/10/2024,Barra Sem Peso,10,1.0,,9:17,
13/10/2024,Barra Sem Peso,20,1.0,,19:50,
14/10/2024,Barra Sem Peso,30,2.0,,22:00,1
17/10/2024,Barra Sem Peso,32,2.0,,22:46,1
18/10/2024,Barra Sem Peso,22,1.0,,13:29,
18/10/2024,Barra Sem Peso,25,2.0,,19:09,1
19/10/2024,Barra Sem Peso,20,1.0,,23:56,
20/10/2024,Barra Sem Peso,20,1.0,,13:40,
21/10/2024,Barra Sem Peso,40,4.0,,21:08,1
22/10/2024,Barra Sem Peso,20,1.0,,19:40,
26/10/2024,Barra Sem Peso,15,1.0,,20:17,
27/10/2024,Barra Sem Peso,15,1.0,,22:12,
30/10/2024,Barra Sem Peso,39,4.0,,23:46,"0,5"
01/11/2024,Barra Sem Peso,20,1.0,,13:25,
01/11/2024,Prancha,2,2.0,1.0,21:59,"0,5"
02/11/2024,Barra Sem Peso,29,2.0,,13:10,1
03/11/2024,Barra Sem Peso,17,1.0,,15:50,
04/11/2024,Barra Sem Peso,15,,,22:22,
04/11/2024,Barra Com Peso,10,1.0,,22:24,
05/11/2024,Barra Com Peso,20,2.0,,18:40,1
06/11/2024,Barra Sem Peso,30,2.0,,17:40,1
06/11/2024,Barra Sem Peso,15,1.0,,19:50,
07/11/2024,Barra Sem Peso,20,1.0,,21:14,
